index,porosity (-),permeability (mD)
286,0.33268,310.02
287,0.2839,148.55
288,0.34825,330.23
289,0.3421,315.73
290,0.35916,371.48
291,0.36106,359.62
292,0.36479,360.04
293,0.37278,402.68
294,0.37094,386.58
295,0.38608,435.5
296,0.37145,381.35
297,0.37546,370.81
298,0.29746,177.9
299,0.38298,378.31
300,0.38719,411.29
301,0.38501,411.6
302,0.39401,435.57
303,0.38758,382.07
304,0.40365,429.62
305,0.40499,447.23
306,0.40168,415.77
307,0.40786,442.97
308,0.4101,436.59
309,0.45015,1050.4
310,0.40604,424.83
311,0.4261,536.9
312,0.41032,415.38
313,0.41135,424.51
314,0.40527,413.64
315,0.39925,400.34
316,0.39781,393.11
317,0.39822,398.02
318,0.3958,392.28
319,0.39704,399.61
320,0.2971,153.28
321,0.3659,804.75
322,0.37034,779.55
323,0.38534,851.56
324,0.38109,797.6
325,0.39634,794.15
326,0.3903,872.46
327,0.39154,871.34
328,0.39915,851.98
329,0.41209,920.22
330,0.41715,928.64
331,0.2919,143.61
332,0.40859,877
333,0.42212,964.6
334,0.44157,1064.1
335,0.4272,953.55
336,0.44844,1062.7
337,0.44599,1025.9
338,0.46214,1119.6
339,0.29873,291.63
340,0.28461,278
341,0.28322,258.28
342,0.27359,255.12
343,0.28596,283.52
344,0.28724,286.82
345,0.27722,270.01
346,0.28496,273.91
347,0.30086,290.62
348,0.29327,284.86
349,0.28985,292.62
350,0.282,278.2
351,0.2983,313.89
352,0.29337,293.92
353,0.2991,288.25
354,0.28975,288.81
355,0.28306,274.89
356,0.28969,279.93
357,0.29432,293.55
358,0.28121,284.41
359,0.29194,287.11
360,0.35907,851.38
361,0.37184,883.26
362,0.35218,843.72
363,0.36534,839.08
364,0.36741,922.03
365,0.38572,981.29
366,0.37661,848.74
367,0.33881,725.48
368,0.37312,894
369,0.33825,698.24
370,0.35775,800.1
371,0.32975,681.38
372,0.33318,730.57
373,0.37316,855.79
374,0.37217,845.54
375,0.36442,848.88
376,0.36572,841.73
377,0.32021,336.33
378,0.31479,325.28
379,0.32629,331.01
380,0.31245,311.63
381,0.32828,342.55
382,0.39034,429.07
383,0.39462,428.81
384,0.3909,415.87
385,0.39825,441.35
386,0.37574,414.51
387,0.52506,1431.7
388,0.51246,1378.1
389,0.51937,1404.1
390,0.50604,1321.1
391,0.51195,1371.4
392,0.35047,565.87
393,0.34391,548.32
394,0.35695,577.79
395,0.34006,514.43
396,0.34766,536.32
397,0.33314,702.31
398,0.34705,469.6
399,0.3371,161.9
400,0.334,278.82
401,0.37969,639.61
402,0.33847,154.82
403,0.29741,115.06
404,0.30396,128.24
405,0.31506,170.55
406,0.32344,149.36
407,0.33739,231.65
408,0.31628,190.65
409,0.34239,227.27
410,0.35806,241.2
411,0.35725,260.47
412,0.36537,606.46
413,0.37014,244.74
414,0.26972,235.75
415,0.29896,387.18
416,0.26559,221.8
417,0.26854,225.45
418,0.26957,286.88
419,0.27483,264.03
420,0.32543,631.87
421,0.32523,671.67
422,0.45595,1483.7
423,0.37802,625.79
424,0.44279,1363.7
425,0.43825,1489.1
426,0.42005,1323.2
427,0.43117,1341.4
428,0.41994,1364.5
429,0.40146,1218.5
430,0.41036,1345
431,0.40063,1240.4
432,0.40583,1317
433,0.39752,1236.7
434,0.37361,604.77
435,0.39151,1169
436,0.37242,1112.7
437,0.38131,1119.8
438,0.33059,519.09
439,0.45323,1517.5
440,0.46796,1590.4
441,0.46647,1621.8
442,0.46331,1590.7
443,0.47784,1692.3
444,0.46166,1609.3
445,0.36087,576.05
446,0.4455,1305.4
447,0.47012,1665.2
448,0.49048,1745.4
449,0.49545,1775
450,0.47771,1703.6
451,0.4673,1364.5
452,0.34719,546.5
453,0.32432,487.43
454,0.30883,466.23
455,0.33419,486.92
456,0.36576,583.19
457,0.32029,462.12
458,0.32863,495.99
459,0.32718,528.87
460,0.32013,448.89
461,0.3143,471.85
462,0.31337,477.66
463,0.33183,523.25
464,0.31924,495.66
465,0.42439,1067.5
466,0.42882,1073.1
467,0.36921,590.06
468,0.44101,1113.7
469,0.36323,807.7
470,0.36659,858.58
471,0.35684,783.55
472,0.36054,841.39
473,0.35559,760.01
474,0.35741,535.59
475,0.34297,500.72
476,0.34937,402.41
477,0.34453,382.58
478,0.35095,567.42
479,0.3093,429.49
480,0.35842,634.53
481,0.37073,734.6
482,0.37426,864.95
483,0.36257,761.26
484,0.3631,773.95
485,0.36026,739.08
486,0.36317,801.98
487,0.3576,769.9
488,0.34361,691.23
489,0.38085,777.56
490,0.37694,711.18
491,0.38709,748.27
492,0.38088,726.93
493,0.38306,755.46
494,0.38618,765.77
495,0.38807,788.99
496,0.38903,768.26
497,0.31397,440.32
498,0.33207,549.16
499,0.29656,330.22
500,0.30636,343.41
501,0.30105,344.51
502,0.31376,359.69
503,0.3166,372.24
504,0.31298,376.31
505,0.31206,384.54
506,0.32277,383.1
507,0.33054,429.73
508,0.32546,398.77
509,0.34066,583.52
510,0.33079,411.77
511,0.34131,453.59
512,0.32717,414.19
513,0.33634,408.61
514,0.33745,434.77
515,0.32101,406.1
516,0.31475,406.72
517,0.30731,353.24
518,0.29532,315.74
519,0.30348,353.55
520,0.36095,702.94
521,0.30356,340.09
522,0.30293,344.41
523,0.31002,370.96
524,0.32456,411.31
525,0.30441,370.41
526,0.31695,398.47
527,0.31728,399.43
528,0.3154,381.3
529,0.32347,385.64
530,0.36671,815.25
531,0.33478,585.69
532,0.37086,784.96
533,0.37611,813.15
534,0.3641,802.71
535,0.3546,782.8
536,0.35304,733.79
537,0.34937,724.38
538,0.34872,657.21
539,0.35735,762.4
540,0.3572,718.22
541,0.33818,645.1
542,0.35984,706.52
543,0.33622,665.5
544,0.31763,392.77
545,0.31558,391.47
546,0.40389,874.99
547,0.3891,830.59
548,0.3807,896.91
549,0.38324,836.84
550,0.36283,794.91
551,0.37041,735.39
552,0.36821,786.18
553,0.35667,635.61
554,0.36337,698.5
555,0.35158,741.2
556,0.33396,630.39
557,0.3566,612.44
558,0.39157,909.76
559,0.37533,803.64
560,0.36833,741.59
561,0.35585,694.08
562,0.35844,586.08
563,0.35488,568.5
564,0.36658,719.36
565,0.34941,585
566,0.34471,552.56
567,0.33807,515.21
568,0.40019,892.99
569,0.39173,847.61
570,0.3977,911.46
571,0.34494,677.16
572,0.34939,732.97
573,0.35443,745.49
574,0.33777,682.86
575,0.36366,699.83
576,0.35548,726.71
577,0.36537,739.72
578,0.36805,800.14
579,0.36502,777.22
580,0.33855,653.63
581,0.35379,736.24
582,0.38365,869.17
583,0.38359,872.34
584,0.38718,859.38
585,0.38491,858.33
586,0.37863,763.34
587,0.3724,718.21
588,0.36878,722.21
589,0.36442,704.08
590,0.35493,664.09
591,0.35768,642.58
592,0.33542,611.73
593,0.33218,622.87
594,0.33427,585.07
595,0.32516,537.68
596,0.43739,870.78
597,0.43914,881.37
598,0.4454,916.77
599,0.43538,881.98
600,0.43466,843.83
601,0.43895,853.25
602,0.43461,876.29
603,0.44491,890.08
604,0.3697,716.29
605,0.37121,729.56
606,0.36872,718.33
607,0.36664,699.25
608,0.36334,694.33
609,0.36573,711.84
610,0.36939,701.71
611,0.36045,669.54
612,0.34746,610.86
613,0.36746,688.79
614,0.37492,1045.2
615,0.38042,1182.9
616,0.3806,1157.9
617,0.39037,1152.7
618,0.39523,1206.2
619,0.39039,1173.3
620,0.40169,1219.2
621,0.40037,1196.7
622,0.4167,1327.7
623,0.4148,1314.9
624,0.40232,1228.5
625,0.39845,1224.8
626,0.41954,1304.3
627,0.4065,1253.5
628,0.41582,1300.5
629,0.41874,1278.4
630,0.41958,1302.7
631,0.41572,1344.4
632,0.43051,1396.5
633,0.42399,1334.2
634,0.43609,1395.3
635,0.36962,942.86
636,0.36423,979.32
637,0.36089,990.37
638,0.37058,1011.4
639,0.38722,1150.1
640,0.3932,1209.2
641,0.39269,1149.7
642,0.39111,1233.9
643,0.41127,1283.4
644,0.40955,1272.1
645,0.42169,1342
646,0.41567,1295
647,0.4245,1241.2
648,0.42908,1334.5
649,0.4301,1344.4
650,0.42065,1379.4
651,0.43806,1357.6
652,0.4348,1343.1
653,0.44092,1602.3
654,0.4311,1484.9
655,0.44772,1599.1
656,0.43164,1539.4
657,0.43102,1528.7
658,0.43065,1539.4
659,0.43233,1520.6
660,0.42174,1427.2
661,0.40835,1319.2
662,0.45192,1481.1
663,0.43962,1390.4
664,0.44515,1420.1
665,0.4346,1359.4
666,0.4327,1316.8
667,0.45571,1664.8
668,0.45333,1657.9
669,0.44769,1586.4
670,0.4585,1761.1
671,0.43514,1542.5
672,0.44241,1599.6
673,0.40677,1642.7
674,0.39795,1391.9
675,0.40122,1361.4
676,0.41607,1604.1
677,0.37389,1052.9
678,0.42684,1654.7
679,0.45255,1854.3
680,0.47227,1982.1
681,0.45401,1717.6
682,0.45934,1782.7
683,0.45235,1763.3
684,0.46231,1848.1
685,0.44505,1761.7
686,0.44736,1788.6
687,0.43816,1700.7
688,0.42331,1573.6
689,0.42833,1667
690,0.4306,1611
691,0.46474,1902.7
692,0.46296,1826.8
693,0.3352,768.01
694,0.34357,815.79
695,0.34248,831.64
696,0.35439,893.73
697,0.35836,928.6
698,0.35058,899.46
699,0.34535,850.81
700,0.35775,959.53
701,0.44848,1865.8
702,0.44202,1921.6
703,0.42595,1861.2
704,0.41112,1628.2
705,0.42094,1853.1
706,0.40203,1611.7
707,0.38853,1629.3
708,0.43728,1723.4
709,0.44428,1774.8
710,0.42555,1563.8
711,0.43337,1628.7
712,0.42826,1675.5
713,0.41816,1437.8
714,0.4073,1549.5
715,0.39775,1558.3
716,0.40157,1353.8
717,0.46289,2066.7
718,0.45347,2067.9
