idx,PORO,PERM
592,0.4210375,2.17685
593,0.4176375,1.6491
594,0.4423,2.31432
595,0.41804375,1.87599
596,0.40495,2.153
597,0.35915,1.8307
598,0.35804375,1.3019
599,0.3341625,0.975013
600,0.3324625,1.67012
601,0.41965625,1.68334
602,0.4093,2.11551
603,0.40015,2.29389
604,0.35166875,1.67272
605,0.43729375,1.91953
606,0.34194375,1.24673
607,0.32553125,0.825051
608,0.32555625,1.32537
609,0.3861375,1.85073
610,0.3369875,1.1581
611,0.32705625,1.3023
612,0.38718125,1.30499
613,0.4202875,2.22329
614,0.3928,1.16626
615,0.3766,2.73878
616,0.3483125,1.37272
617,0.33236875,1.8109
618,0.3719125,1.42522
619,0.33079375,1.02129
620,0.313025,0.730293
621,0.33825625,1.46362
622,0.3218625,1.37366
623,0.332475,1.70098
624,0.33691875,2.05956
625,0.31686875,1.36496
626,0.35998125,2.80601
627,0.439425,2.66298
628,0.320025,1.22231
629,0.33946875,2.17262
630,0.30830625,1.1176
631,0.33089375,1.12123
632,0.4282875,3.20219
633,0.4192875,1.97808
634,0.31569375,1.39824
635,0.41675625,1.67359
636,0.426975,4.09838
637,0.4131875,1.83025
638,0.37349375,1.36606
639,0.43631875,3.13311
640,0.47878125,3.11816
641,0.4078,3.15177
642,0.47544375,4.55325
643,0.46704375,2.57789
644,0.4030625,2.86027
645,0.38919375,1.06229
646,0.39834375,1.8346
647,0.3833375,1.24614
648,0.38774375,1.61059
649,0.34953125,1.09599
650,0.3825625,2.31871
651,0.39301875,3.29443
652,0.3782875,1.1764
653,0.409075,2.48096
654,0.385175,2.1702
655,0.39000625,0.865853
656,0.38866875,2.08126
657,0.39335,2.18295
658,0.36473125,2.93304
659,0.3795625,2.06893
660,0.420225,2.27804
661,0.39065,2.25097
662,0.38523125,1.15476
663,0.3761625,1.57656
664,0.38555625,1.457
665,0.3802625,1.75546
666,0.36009375,3.11047
667,0.4452,2.04733
668,0.3671375,2.52104
669,0.43368125,1.69778
670,0.45093125,2.37751
